,accession,strain
4445,LC412790,A96-YN-CHN-2016
4446,LC412791,A97-YN-CHN-2016
4447,LC412792,A110-YN-CHN-2016
4448,LC412793,A117-YN-CHN-2016
4449,LC412794,A123-YN-CHN-2016
4450,LC412795,A148-YN-CHN-2016
4451,LC412796,A152-YN-CHN-2016
4452,LC412797,A153-YN-CHN-2016
4453,LC412798,A156-YN-CHN-2016
4454,LC412799,A159-YN-CHN-2016
4455,LC412800,C2-YN-CHN-2016
4456,LC412801,C12-YN-CHN-2016
4457,LC412802,C16-YN-CHN-2016
4458,LC412803,C18-YN-CHN-2016
4459,LC412804,C28-YN-CHN-2016
4460,LC412805,C31-YN-CHN-2016
4461,LC412806,C33-YN-CHN-2016
4462,LC412807,C43-YN-CHN-2016
4463,LC412808,C50-YN-CHN-2016
4464,LC412809,C62-YN-CHN-2016
4465,LC412810,C63-YN-CHN-2016
4466,LC412811,C65-YN-CHN-2016
4467,LC412812,C67-YN-CHN-2016
4468,LC412813,C68-YN-CHN-2016
4469,LC412814,C70-YN-CHN-2016
4470,LC412815,C72-YN-CHN-2016
4471,LC412816,C79-YN-CHN-2016
4472,LC412817,C86-YN-CHN-2016
4473,LC412818,C100-YN-CHN-2016
4474,LC412819,C101-YN-CHN-2016
4475,LC412820,C109-YN-CHN-2016
4476,LC412821,C111-YN-CHN-2016
4477,LC412822,C125-YN-CHN-2016
4478,LC412823,C135-YN-CHN-2016
4479,LC412824,C139-YN-CHN-2016
4480,LC412825,D24-YN-CHN-2016
4481,LC412826,D58-YN-CHN-2016
4482,LC412827,D69-YN-CHN-2016
4483,LC412828,D70-YN-CHN-2016
4484,LC412829,D74-YN-CHN-2016
4485,LC412830,D75-YN-CHN-2016
4486,LC412831,D76-YN-CHN-2016
4487,LC412832,D78-YN-CHN-2016
4488,LC412833,D80-YN-CHN-2016
4489,LC412834,D94-YN-CHN-2016
4490,LC412835,D105-YN-CHN-2016
4491,LC412836,D108-YN-CHN-2016
4492,LC412837,D111-YN-CHN-2016
4493,LC412838,D114-YN-CHN-2016
4494,LC412839,D116-YN-CHN-2016
4495,LC412840,D120-YN-CHN-2016
4496,LC412841,D121-YN-CHN-2016
4497,LC412842,D122-YN-CHN-2016
4498,LC412843,D123-YN-CHN-2016
4499,LC412844,D125-YN-CHN-2016
4500,LC412845,D126-YN-CHN-2016
4501,LC412846,D127-YN-CHN-2016
4502,LC412847,D130-YN-CHN-2016
4503,LC412848,D133-YN-CHN-2016
4504,LC412849,D138-YN-CHN-2016
4505,LC412850,D144-YN-CHN-2016
4506,LC412851,D149-YN-CHN-2016
4507,LC412852,D155-YN-CHN-2016
4508,LC412853,D160-YN-CHN-2016
4509,LC412854,D190-YN-CHN-2016
4510,LC412855,D191-YN-CHN-2016
4511,LC412856,D196-YN-CHN-2016
4512,LC412857,D198-YN-CHN-2016
4513,LC412858,D201-YN-CHN-2016
4514,LC412859,D205-YN-CHN-2016
4515,LC412860,D206-YN-CHN-2016
4516,LC412861,D208-YN-CHN-2016
4517,LC412862,D212-YN-CHN-2016
4518,LC412863,G63-EV-A71-VP1-B5
4519,LC412864,I9-YN-CHN-2016
4520,LC412865,I10-YN-CHN-2016
4521,LC412866,I13-YN-CHN-2016
4522,LC412867,I22-YN-CHN-2016
4523,LC412868,I37-YN-CHN-2016
4524,LC412869,I48-YN-CHN-2016
4525,LC412870,I54-YN-CHN-2016
4526,LC412871,J9-YN-CHN-2016
4527,LC412872,J35-YN-CHN-2016
4528,LC412873,J37-YN-CHN-2016
4529,LC412874,J56-YN-CHN-2016
4530,LC412875,J64-YN-CHN-2016
4531,LC412876,J92-YN-CHN-2016
4532,LC412877,J107-YN-CHN-2016
4533,LC412878,J129-YN-CHN-2016
4534,LC412879,J138-YN-CHN-2016
4535,LC412880,J139-YN-CHN-2016
4536,LC412881,J147-YN-CHN-2016
4537,LC412882,J154-YN-CHN-2016
4538,LC412883,J155-YN-CHN-2016
4539,LC412884,J174-YN-CHN-2016
4540,LC412885,J176-YN-CHN-2016
4541,LC412886,J177-YN-CHN-2016
4542,LC412887,J178-YN-CHN-2016
4543,LC412888,J180-YN-CHN-2016
4544,LC412889,P31-YN-CHN-2016
4545,LC412890,P45-YN-CHN-2016
4546,LC412891,P71-YN-CHN-2016
4547,LC412892,R15-YN-CHN-2016
4548,LC412893,R36-YN-CHN-2016
4549,LC412894,R40-YN-CHN-2016
4550,LC412895,R45-YN-CHN-2016
4551,LC412896,R53-YN-CHN-2016
4552,LC412897,R56-YN-CHN-2016
4553,LC412898,R79-YN-CHN-2016
4554,LC412899,R97-YN-CHN-2016
4555,LC412900,R98-YN-CHN-2016
4556,LC412901,R101-YN-CHN-2016
4557,LC412988,A11-YN-CHN-2017
4558,LC412989,A14-YN-CHN-2017
4559,LC412990,A24-YN-CHN-2017
4560,LC412991,A28-YN-CHN-2017
4561,LC412992,A34-YN-CHN-2017
4562,LC412993,A35-YN-CHN-2017
4563,LC412994,A47-YN-CHN-2017
4564,LC412995,A48-YN-CHN-2017
4565,LC412996,A50-YN-CHN-2017
4566,LC412997,A51-YN-CHN-2017
4567,LC412998,A61-YN-CHN-2017
4568,LC412999,A62-YN-CHN-2017
4569,LC413000,A69-YN-CHN-2017
4570,LC413001,A82-YN-CHN-2017
4571,LC413002,A91-YN-CHN-2017
4572,LC413003,A94-YN-CHN-2017
4573,LC413004,A104-YN-CHN-2017
4574,LC413005,A105-YN-CHN-2017
4575,LC413006,A147-YN-CHN-2017
4576,LC413007,A148-YN-CHN-2017
4577,LC413008,A154-YN-CHN-2017
4578,LC413009,B11-YN-CHN-2017
4579,LC413010,B45-YN-CHN-2017
4580,LC413011,B46-YN-CHN-2017
4581,LC413012,B47-YN-CHN-2017
4582,LC413013,B48-YN-CHN-2017
4583,LC413014,B49-YN-CHN-2017
4584,LC413015,B50-YN-CHN-2017
4585,LC413016,B58-YN-CHN-2017
4586,LC413017,B66-YN-CHN-2017
4587,LC413018,B67-YN-CHN-2017
4588,LC413019,B68-YN-CHN-2017
4589,LC413020,B69-YN-CHN-2017
4590,LC413021,B70-YN-CHN-2017
4591,LC413022,B71-YN-CHN-2017
4592,LC413023,B72-YN-CHN-2017
4593,LC413024,B73-YN-CHN-2017
4594,LC413025,B74-YN-CHN-2017
4595,LC413026,B75-YN-CHN-2017
4596,LC413027,B76-YN-CHN-2017
4597,LC413028,C23-YN-CHN-2017
4598,LC413029,C43-YN-CHN-2017
4599,LC413030,C45-YN-CHN-2017
4600,LC413031,C48-YN-CHN-2017
4601,LC413032,C59-YN-CHN-2017
4602,LC413033,C61-YN-CHN-2017
4603,LC413034,C70-YN-CHN-2017
4604,LC413035,C71-YN-CHN-2017
4605,LC413036,C73-YN-CHN-2017
4606,LC413037,D15-YN-CHN-2017
4607,LC413038,D16-YN-CHN-2017
4608,LC413039,D141-YN-CHN-2017
4609,LC413040,D142-YN-CHN-2017
4610,LC413041,H5-YN-CHN-2017
4611,LC413042,H15-YN-CHN-2017
4612,LC413043,H20-YN-CHN-2017
4613,LC413044,H28-YN-CHN-2017
4614,LC413045,H33-YN-CHN-2017
4615,LC413046,I3-YN-CHN-2017
4616,LC413047,I4-YN-CHN-2017
4617,LC413048,I6-YN-CHN-2017
4618,LC413049,I13-YN-CHN-2017
4619,LC413050,I14-YN-CHN-2017
4620,LC413051,I15-YN-CHN-2017
4621,LC413052,I16-YN-CHN-2017
4622,LC413053,I21-YN-CHN-2017
4623,LC413054,J3-YN-CHN-2017
4624,LC413055,J7-YN-CHN-2017
4625,LC413056,J13-YN-CHN-2017
4626,LC413057,J15-YN-CHN-2017
4627,LC413058,J16-YN-CHN-2017
4628,LC413059,J28-YN-CHN-2017
4629,LC413060,J30-YN-CHN-2017
4630,LC413061,J32-YN-CHN-2017
4631,LC413062,J38-YN-CHN-2017
4632,LC413063,J44-YN-CHN-2017
4633,LC413064,J48-YN-CHN-2017
4634,LC413065,J56-YN-CHN-2017
4635,LC413066,J57-YN-CHN-2017
4636,LC413067,J58-YN-CHN-2017
4637,LC413068,J59-YN-CHN-2017
4638,LC413069,J69-YN-CHN-2017
4639,LC413070,J71-YN-CHN-2017
4640,LC413071,J80-YN-CHN-2017
4641,LC413072,J81-YN-CHN-2017
4642,LC413073,J91-YN-CHN-2017
4643,LC413074,N7-YN-CHN-2017
4644,LC413075,P13-YN-CHN-2017
4645,LC413076,P57-YN-CHN-2017
4646,LC506513,N772-Snd-06
4647,LC626872,N343-Snd-12
4648,LC626873,K282-Snd-12
4649,LC626874,1499-Ymg-13
4650,LC626875,N362-Snd-12
4651,LC626876,N380-Snd-12
4652,LC626877,N384-Snd-12
4653,LC626878,1888-Ymg-12
4654,LC626879,1859-Ymg-12
4655,LC626880,N826-Snd-03
4656,LC626881,N803-Snd-03
4657,LC626882,N133-Snd-06
4658,LC626883,K528-Snd-03
4659,LC626884,K493-Snd-03
4660,LC626885,K404-Snd-03
4661,LC626886,K399-Snd-03
4662,LC626887,K398-Snd-06
4663,LC626888,K367-Snd-03
4664,LC626889,K258-Snd-03
4665,LC626890,56-Ymg-07
4666,LC626891,452-Ymg-03
4667,LC626892,2779-Ymg-02
4668,LC626893,2498-Ymg-06
4669,LC626894,2488-Ymg-06
4670,LC626895,2317-Ymg-06
4671,LC626896,1934-Ymg-03
4672,LC626897,114-Ymg-07
4673,LC626898,1138-Ymg-03
4674,LC626899,100-Ymg-03
4675,LC626900,2000-Ymg-12
4676,LC626901,N377-Snd-12
4677,LC627066,15NHP105
4678,LC627067,15NHP003
4679,LC627068,15NHP009
4680,LC627069,15NHP019
4681,LC627070,15NHP023
4682,LC627071,15NHP088
4683,LC627072,15NHP108
4684,LC627073,15NHP120
4685,LC627074,15NHP128
4686,LC627075,15NHP152
4687,LC627076,15NHP157
4688,LC627077,16NHP226
4689,LC627078,16NHP373
4690,LC627079,16NHP399
4691,LC627080,16NHP400
4692,LC627081,16NHP450
4693,LC627082,16NHP453
4694,LC627083,16NHP456
4695,LC627084,16NHP462
4696,LC627085,15NHP107
4697,LC627086,16NHP379
4698,LC627087,16NHP391
4699,LC627088,16NHP417
4700,LC627089,16NHP436
4701,LC627090,16NHP442
4702,LC627091,16NHP455
4703,LC627092,16NHP475
4704,LR027522,06|TOU307017|FRA16
4705,LR027524,09|PMB250102|FRA16
4706,LR027525,10|COC259064|FRA16
4707,LR027527,01|TOU148153|FRA16
4708,LR027528,07|COC238077|FRA16
4709,LR027532,23|TOU307036|FRA16
4710,LR027533,13|COC286037|FRA16
4711,LR027539,26|PMB501259|FRA17
4712,LR027546,25|AMI302001|FRA16
4713,LT719063,MAD-3126-11
4714,LT719064,MAD-7842-10
4715,LT719065,MAD-72341-04
4716,LT719066,CAE-CEN-BIY-146-08
4717,LT719067,08-041
4718,LT719068,03-008
4719,MF185255,A069_GX_2013
4720,MF185256,A012_GX_2013
4721,MF185257,195-1_GX_2013
4722,MF185258,A006_GX_2013
4723,MF185259,184-4_GX_2013
4724,MF185260,162-1_GX_2013
4725,MF185261,078-1_GX_2013
4726,MF185262,7146_GX_2012
4727,MF185263,208-1_GX_2012
4728,MF185264,218-1_GX_2012
4729,MF185265,160-5_GX_2012
4730,MF185266,270-1_GX_2012
4731,MF185268,207-3_GX_2012
4732,MF185269,190-3_GX_2012
4733,MF185270,171-1_GX_2012
4734,MF185271,162-1_GX_2012
4735,MF185272,124-3_GX_2012
4736,MF185273,124-1_GX_2012
4737,MF185274,113-1_GX_2012
4738,MF185275,110-5_GX_2012
4739,MF185276,110-2_GX_2012
4740,MF185277,110-1_GX_2012
4741,MF185278,098-4_GX_2012
4742,MF185279,098-1_GX_2012
4743,MF185280,058-1_GX_2012
4744,MF185281,058-3_GX_2012
4745,MF185282,059-1_GX_2012
4746,MF185283,059-2_GX_2012
4747,MF185284,084-1_GX_2012
4748,MF185285,084-2_GX_2012
4749,MF185286,086-1_GX_2012
4750,MF185287,093-1_GX_2012
4751,MF185288,093-3_GX_2012
4752,MF185289,093-4_GX_2012
4753,MF185290,7118_GX_2012
4754,MF185291,517_GX_2014
4755,MF185292,519_GX_2014
4756,MF185293,521_GX_2014
4757,MF185294,523_GX_2014
4758,MF185295,525_GX_2014
4759,MF185296,527_GX_2014
4760,MF185297,533_GX_2014
4761,MF185298,535_GX_2014
4762,MF185299,537_GX_2014
4763,MF185300,539_GX_2015
4764,MF185301,541_GX_2015
4765,MF185302,543_GX_2015
4766,MF185303,545_GX_2015
4767,MF185304,547_GX_2015
4768,MF185305,551_GX_2014
4769,MF185306,553_GX_2014
4770,MF185307,555_GX_2014
4771,MF185308,557_GX_2014
4772,MF185309,561_GX_2014
4773,MF185310,565_GX_2014
4774,MF185311,567_GX_2014
4775,MF405075,EV71/SZ08/CHN/2013
4776,MF431793,EV71/SZ17/CHN/2013
4777,MF662693,RW14/YN/CHN/2012
4778,MF770660,FRE181-FRA10
4779,MF770662,
4780,MF770663,
4781,MF770665,
4782,MF770668,
4783,MF770669,
4784,MF770671,
4785,MF770682,
4786,MF770688,
4787,MF770695,
4788,MF770696,
4789,MF770698,
4790,MF770700,
4791,MF770701,
4792,MF872862,2016SHYP001-EV71
4793,MG013988,15-355
4794,MG214681,30-2/2015/BJ
4795,MG367592,DK07-02
4796,MG367593,DK07-03
4797,MG367594,DK07-04
4798,MG367595,DK14-03
4799,MG367596,DK16-02
4800,MG367597,DK16-03
4801,MG367598,DK16-04
4802,MG367599,DK16-05
4803,MG367600,DK16-06
4804,MG367601,DK16-08
4805,MG367604,DK10-03
4806,MG367605,DK14-01
4807,MG367607,DK16-09
4808,MG367608,DK16-12
4809,MG367609,DK16-16
4810,MG431943,EV71/CZTN01/CHN/2017
4811,MG520666,EV71-NJ2017iso2
4812,MG581490,EV71-NJ2017iso1
4813,MG588018,Shouguang/204/SD/CHN/2017/EV71
4814,MG588019,Hanting/136/SD/CHN/2017/EV71
4815,MG588020,Gaoxin/410/SD/CHN/2017/EV71
4816,MG588021,Fangzi/434/SD/CHN/2017/EV71
4817,MG588022,Fangzi/168/SD/CHN/2017/EV71
4818,MG588023,Fangzi/167/SD/CHN/2017/EV71
4819,MG588024,Changle/392/SD/CHN/2017/EV71
4820,MG588025,Changle/391/SD/CHN/2017/EV71
4821,MG588026,Changle/387/SD/CHN/2017/EV71
4822,MG588027,Xiashan/467/SD/CHN/2016/EV71
4823,MG588028,Weicheng/501/SD/CHN/2016/EV71
4824,MG588029,Shouguang/153/SD/CHN/2016/EV71
4825,MG588030,Shouguang/150/SD/CHN/2016/EV71
4826,MG588031,Shouguang/144/SD/CHN/2016/EV71
4827,MG588032,Hanting/219/SD/CHN/2016/EV71
4828,MG588033,Gaomi/553/SD/CHN/2016/EV71
4829,MG588034,Anqiu/347/SD/CHN/2016/EV71
4830,MG588035,Anqiu/287/SD/CHN/2016/EV71
4831,MG588036,Anqiu/286/SD/CHN/2016/EV71
4832,MG588037,Anqiu/285/SD/CHN/2016/EV71
4833,MG588038,Shouguang/21/SD/CHN/2015/EV71
4834,MG588039,Qingzhou/23/SD/CHN/2015/EV71
4835,MG588040,Kuiwen/38/SD/CHN/2015/EV71
4836,MG588041,Hanting/53/SD/CHN/2015/EV71
4837,MG588042,Hanting/52/SD/CHN/2015/EV71
4838,MG588043,Zhucheng/355/SD/CHN/2014/EV71
4839,MG588044,Zhucheng/354/SD/CHN/2014/EV71
4840,MG588045,Xiashan/242/SD/CHN/2014/EV71
4841,MG588046,Gaomi/339/SD/CHN/2014/EV71
4842,MG588047,Gaomi/337/SD/CHN/2014/EV71
4843,MG588048,Gaomi/308/SD/CHN/2014/EV71
4844,MG588049,Gaomi/218/SD/CHN/2014/EV71
4845,MG588050,Fagnzi/127/SD/CHN/2014/EV71
4846,MG588051,Anqiu/91/SD/CHN/2014/EV71
4847,MG588052,Anqiu/90/SD/CHN/2014/EV71
4848,MG595264,Qingzhou/345/SD/CHN/2017/EV71
4849,MG604317,EVA71/236728.GR/11.13
4850,MG604318,
4851,MG604320,
4852,MG604321,
4853,MG604324,
4854,MG604325,
4855,MG604326,
4856,MG604327,
4857,MG672478,NER-13-194
4858,MG672479,GIN-13-365
4859,MG672480,SEN-14-157
4860,MG672481,MRT-14-250
4861,MG756694,
4862,MG756695,
4863,MG756706,
4864,MG756707,
4865,MG756708,
4866,MG756709,
4867,MG756710,
4868,MG756711,
4869,MG756712,
4870,MG756713,
4871,MG756714,
4872,MG756721,
4873,MG756723,
4874,MG756726,
4875,MG756727,
4876,MG756729,
4877,MG756730,
4878,MG756731,
4879,MG756732,
4880,MG756733,
4881,MG756734,
4882,MG756735,
4883,MG756738,
4884,MG756739,
4885,MG756740,
4886,MG756741,
4887,MG756742,
4888,MG756743,
4889,MG756744,
4890,MG756745,
4891,MG756746,
4892,MG756747,
4893,MG756748,
4894,MG756749,TW-50995-2012
4895,MG756750,
4896,MG756751,
4897,MG756752,
4898,MG756753,
4899,MG756754,
4900,MG773122,Huainan201401
4901,MG773123,Huainan201402
4902,MG773124,Huainan201403
4903,MG773125,Huainan201404
4904,MG773126,Huainan201405
4905,MG843892,EV71_VP1_THA/CU2404/2017
4906,MG843893,EV71_VP1_THA/CU2408/2017
4907,MG843894,EV71_VP1_THA/CU2411/2017
4908,MG843895,EV71_VP1_THA/CU2412/2017
4909,MG843896,EV71_VP1_THA/CU2415/2017
4910,MG843897,EV71_VP1_THA/CU2421/2017
4911,MG843898,EV71_VP1_THA/CU2479/2017
4912,MG843899,EV71_VP1_THA/CU2481/2017
4913,MG843900,EV71_VP1_THA/CU2483/2017
4914,MG843901,EV71_VP1_THA/CU2484/2017
4915,MG843902,EV71_VP1_THA/CU2490/2017
4916,MG843903,EV71_VP1_THA/CU2492/2017
4917,MG843904,EV71_VP1_THA/CU2493/2017
4918,MG843906,EV71_VP1_THA/CU2498/2017
4919,MG843907,EV71_VP1_THA/CU2499/2017
4920,MG843908,EV71_VP1_THA/CU2517/2017
4921,MG843911,EV71_VP1_THA/CU2520/2017
4922,MG843915,EV71_VP1_THA/CU2528/2017
4923,MG843916,EV71_VP1_THA/CU2537/2017
4924,MG843917,EV71_VP1_THA/CU2543/2017
4925,MG843918,EV71_VP1_THA/CU2545/2017
4926,MG843919,EV71_VP1_THA/CU2555/2017
4927,MG843920,EV71_VP1_THA/CU2559/2017
4928,MG843921,EV71_VP1_THA/CU2560/2017
4929,MG843923,EV71_VP1_THA/CU2563/2017
4930,MG843924,EV71_VP1_THA/CU2564/2017
4931,MG843925,EV71_VP1_THA/CU2566/2017
4932,MG843926,EV71_VP1_THA/CU2568/2017
4933,MG843927,EV71_VP1_THA/CU2569/2017
4934,MG843928,EV71_VP1_THA/CU2570/2017
4935,MG843931,EV71_VP1_THA/CU2586/2017
4936,MG843932,EV71_VP1_THA/CU2587/2017
4937,MG843933,EV71_VP1_THA/CU2588/2017
4938,MG843934,EV71_VP1_THA/CU2589/2017
4939,MG843935,EV71_VP1_THA/CU2590/2017
4940,MG843936,EV71_VP1_THA/CU2591/2017
4941,MG843937,EV71_VP1_THA/CU2592/2017
4942,MG843938,EV71_VP1_THA/CU2593/2017
4943,MG843939,EV71_VP1_THA/CU2594/2017
4944,MG843940,EV71_VP1_THA/CU2602/2017
4945,MG843941,EV71_VP1_THA/CU2603/2017
4946,MG843944,EV71_VP1_THA/CU2611/2017
4947,MG843947,EV71_VP1_THA/CU2620/2017
4948,MG843948,EV71_VP1_THA/CU2621/2017
4949,MG843949,EV71_VP1_THA/CU2622/2017
4950,MG843952,EV71_VP1_THA/CU2634/2017
4951,MG843953,EV71_VP1_THA/CU2637/2017
4952,MG843954,EV71_VP1_THA/CU2638/2017
4953,MG843955,EV71_VP1_THA/CU2640/2017
4954,MG843956,EV71_VP1_THA/CU2645/2017
4955,MG843957,EV71_VP1_THA/CU2652/2017
4956,MG843958,EV71_VP1_THA/CU2654/2017
4957,MG843959,EV71_VP1_THA/CU2658/2017
4958,MG843960,EV71_VP1_THA/CU2663/2017
4959,MG843961,EV71_VP1_THA/CU2667/2017
4960,MG843962,EV71_VP1_THA/CU2669/2017
4961,MG843963,EV71_VP1_THA/CU2671/2017
4962,MG843964,EV71_VP1_THA/CU2673/2017
4963,MG843965,EV71_VP1_THA/CU2675/2017
4964,MG843966,EV71_VP1_THA/CU2679/2017
4965,MG843970,EV71_VP1_THA/CU2688/2017
4966,MG843972,EV71_VP1_THA/CU2691/2017
4967,MG843975,EV71_VP1_THA/CU2698/2017
4968,MG843978,EV71_VP1_THA/CU2702/2017
4969,MG843979,EV71_VP1_THA/CU2713/2017
4970,MG843980,EV71_VP1_THA/CU2714/2017
4971,MG843981,EV71_VP1_THA/CU2715/2017
4972,MG843983,EV71_VP1_THA/CU2722/2017
4973,MG843984,EV71_VP1_THA/CU2728/2017
4974,MG843985,EV71_VP1_THA/CU2732/2017
4975,MG843986,EV71_VP1_THA/CU2733/2017
4976,MG843988,EV71_VP1_THA/CU2735/2017
4977,MG843991,EV71_VP1_THA/CU2738/2017
4978,MG843992,EV71_VP1_THA/CU2739/2017
4979,MG843994,EV71_VP1_THA/CU2746/2017
4980,MG844000,EV71_VP1_THA/CU2756/2017
4981,MG844001,EV71_VP1_THA/CU2757/2017
4982,MG844002,EV71_VP1_THA/CU2758/2017
4983,MG844003,EV71_VP1_THA/CU2760/2017
4984,MG844004,EV71_VP1_THA/CU2761/2017
4985,MG844005,EV71_VP1_THA/CU2762/2017
4986,MG844006,EV71_VP1_THA/CU2763/2017
4987,MG844007,EV71_VP1_THA/CU2764/2017
4988,MG844011,EV71_VP1_THA/CU2769/2017
4989,MG844014,EV71_VP1_THA/CU2779/2017
4990,MG844015,EV71_VP1_THA/CU2781/2017
4991,MG844016,EV71_VP1_THA/CU2794/2017
4992,MG844018,EV71_VP1_THA/CU2796/2017
4993,MG844019,EV71_VP1_THA/CU2797/2017
4994,MG844021,EV71_VP1_THA/CU2799/2017
4995,MG844022,EV71_VP1_THA/CU2800/2017
4996,MG844023,EV71_VP1_THA/CU2801/2017
4997,MG844024,EV71_VP1_THA/CU2802/2017
4998,MG844025,EV71_VP1_THA/CU2803/2017
4999,MG844026,EV71_VP1_THA/CU2811/2017
5000,MG844027,EV71_VP1_THA/CU2813/2017
5001,MG844028,EV71_VP1_THA/CU2815/2017
5002,MG844029,EV71_VP1_THA/CU2816/2017
5003,MG844031,EV71_VP1_THA/CU2826/2017
5004,MG844032,EV71_VP1_THA/CU2828/2017
5005,MG844034,EV71_VP1_THA/CU2832/2017
5006,MG844035,EV71_VP1_THA/CU2833/2017
5007,MG844036,EV71_VP1_THA/CU2834/2017
5008,MG844037,EV71_VP1_THA/CU2835/2017
5009,MG844038,EV71_VP1_THA/CU2836/2017
5010,MG844040,EV71_VP1_THA/CU2838/2017
5011,MG844043,EV71_VP1_THA/CU2847/2017
5012,MG844045,EV71_VP1_THA/CU2849/2017
5013,MG844047,EV71_VP1_THA/CU2855/2017
5014,MG844048,EV71_VP1_THA/CU2856/2017
5015,MG844049,EV71_VP1_THA/CU2857/2017
5016,MG844052,EV71_VP1_THA/CU2860/2017
5017,MG844053,EV71_VP1_THA/CU2861/2017
5018,MG844056,EV71_VP1_THA/CU2869/2017
5019,MG844057,EV71_VP1_THA/CU2883/2017
5020,MG844059,EV71_VP1_THA/CU2890/2017
5021,MG844060,EV71_VP1_THA/CU2898/2017
5022,MG875331,160-50
5023,MG934553,Linqu/523/SD/CHN/2017/EV71
5024,MG934554,Linqu/524/SD/CHN/2017/EV71
5025,MG934555,Qingzhou/703/SD/CHN/2017/EV71
5026,MG934556,Qingzhou/704/SD/CHN/2017/EV71
5027,MH167442,LS201701
5028,MH167443,LS201702
5029,MH167444,LS201703
5030,MH167445,LS201704
5031,MH167446,LS201705
5032,MH256662,PD_0716ST
5033,MH256663,PD_0716LBA
5034,MH256664,BA_0916LBA
5035,MH394719,07527_SP_FEB16_M
5036,MH394720,20785_SP_APR16_AV
5037,MH394721,20787_SP_APR16_AV
5038,MH394722,20832_SP_APR16_B
5039,MH394723,24495_SP_MAY16_B
5040,MH394724,24497_SP_MAY16_B
5041,MH394725,25377_SP_MAY16_B
5042,MH394726,25383_SP_MAY16_B
5043,MH394727,25384_SP_MAY16_B
5044,MH394728,25395_SP_MAY16_B
5045,MH394729,25992_AND_MAY16
5046,MH394730,26213_SP_MAY16_B
5047,MH394731,26214_SP_MAY16_B
5048,MH394732,26216_SP_MAY16_B
5049,MH394733,26223_SP_MAY16_B
5050,MH394734,26225_SP_MAY16_B
5051,MH394735,26227_SP_MAY16_B
5052,MH394736,26229_SP_MAY16_B
5053,MH394737,26255_SP_MAY16_B
5054,MH394738,26261_SP_MAY16_B
5055,MH394739,26273_SP_MAY16_B
5056,MH394740,26275_SP_MAY16_B
5057,MH394741,26287_SP_APR16_B
5058,MH394742,26346_SP_MAY16_BI
5059,MH394743,26350_SP_MAY16_BI
5060,MH394744,26539_SP_MAY16_B
5061,MH394745,26541_SP_MAY16_B
5062,MH394746,26876_SP_MAY16_A
5063,MH394747,26888_SP_MAY16_A
5064,MH394748,27022_SP_MAY16_M
5065,MH394749,27209_SP_MAY16_B
5066,MH394750,27211_SP_MAY16_B
5067,MH394751,27297_SP_MAY16_BA
5068,MH394752,27301_SP_MAY16_BA
5069,MH394753,27457_SP_MAY16_M
5070,MH394754,27489_SP_MAY16_A
5071,MH394755,27499_SP_MAY16_A
5072,MH394756,27712_SP_MAY16_CS
5073,MH394757,27723_SP_MAY16_A
5074,MH394758,27801_SP_MAY16_M
5075,MH394759,28064_SP_MAY16_BU
5076,MH394760,28068_SP_MAY16_BU
5077,MH394761,28146_SP_JUN16_BU
5078,MH394762,28183_SP_JUN16_BU
5079,MH394763,28339_SP_MAY16_A
5080,MH394764,28418_SP_MAY16_PM
5081,MH394765,28423_SP_MAY16_PM
5082,MH394766,28494_SP_MAY16_M
5083,MH394767,28613_SP_MAY16_M
5084,MH394768,29291_SP_JUN16_BU
5085,MH394769,29520_SP_JUN16_M
5086,MH394770,29527_SP_JUN16_M
5087,MH394771,29536_SP_JUN16_M
5088,MH394772,29639_SP_JUN16_BU
5089,MH394773,29656_SP_JUN16_Z
5090,MH394774,29795_SP_MAY16_M
5091,MH394775,29897_SP_MAY16_BU
5092,MH394776,29898_SP_JUN16_BU
5093,MH394777,30050_SP_JUN16_BU
5094,MH394778,30069_SP_JUN16_M
5095,MH394779,30249_SP_JUN16_A
5096,MH394780,30256_SP_MAY16_A
5097,MH394781,30591_SP_JUN16_M
5098,MH394782,30662_SP_JUN16_M
5099,MH394783,30753_SP_JUN16_AV
5100,MH394784,31155_SP_JUN16_GU
5101,MH394785,31202_SP_JUN16_A
5102,MH394786,31209_SP_JUN16
5103,MH394787,31213_SP_JUN16_M
5104,MH394788,31254_SP_JUN16_M
5105,MH394789,31260_SP_JUN16_M
5106,MH394790,31581_SP_JUN16_NA
5107,MH394791,31751_SP_APR16_B
5108,MH394792,31755_SP_MAY16_B
5109,MH394793,31815_SP_JUN16_M
5110,MH394794,31854_SP_JUN16_M
5111,MH394795,32253_SP_JUN16_CR
5112,MH394796,32364_SP_JUN16_M
5113,MH394797,32643_SP_JUN16_A
5114,MH394798,33154_SP_JUN16_Z
5115,MH394799,33301_SP_JUN16_Z
5116,MH394800,33310_SP_JUN16_Z
5117,MH394801,33365_SP_JUN16_GU
5118,MH394802,33368_SP_JUN16_GU
5119,MH394803,33636_SP_MAY16_B
5120,MH394804,33640_SP_MAY16_B
5121,MH394805,33648_SP_MAY16_B
5122,MH394806,33654_SP_MAY16_B
5123,MH394807,33657_SP_MAY16_B
5124,MH394808,33661_SP_MAY16_B
5125,MH394809,33662_SP_MAY16_B
5126,MH394810,33664_SP_JUN16_B
5127,MH394811,33697_SP_JUN16_B
5128,MH394812,33704_SP_JUN16_B
